Reporting Library Service,Name,Address 1,Address 2,Address 3,Upper Tier Local Authority,Postcode,Type,Year_Permanently_Closed,Year First Opened,lat,lon
Birmingham,West Heath Library,The Fordrough ,Birmingham,West Midlands,Birmingham,B31 3LX,Static Library,2016,,52.400561,-1.959956
"Bristol, City of",Eastville,Muller Road,Eastville,Bristol,"Bristol, City of",BS5 6XP,Static Library,2016,,51.476183,-2.567664
Bury,New Kershaw Centre Library,"New Kershaw Centre, Deal Street",Bury,Greater Manchester,Bury,BL9 7PZ,Static Library,2016,,53.595165,-2.278766
Cheshire West and Chester,Bishops' High Library,Vaughans Lane,Chester,Cheshire,Cheshire West and Chester,CH3 5XF,Static Library,2016,,53.184343,-2.864393
Cheshire West and Chester,Elton Library,Elton Community Centre,Elton,Cheshire,Cheshire West and Chester,CH2 4PU,Static Library,2016,,53.270571,-2.819301
Cheshire West and Chester,Willaston Library,"Willaston Methodist Church, Neston Road",Willaston,Cheshire,Cheshire West and Chester,CH64 2TL,Static Library,2016,,53.29285,-3.00867
Coventry,Arena Park,"Arena Park Shopping Centre, Classic Drive",Rowley's Green,West Midlands,Coventry,CV6 6AS,Static Library,2016,,52.444469,-1.492507
Cumberland,Thornhill Library,Ehen Road,Thornhill,Cumbria,Cumberland,CA22 2SJ,Static Library,2016,,54.464724,-3.527613
Gateshead,Lobley Hill (Book Collection),"Lobley Hill Community Centre, Scafell Gardens",Lobley Hill,Tyne and Wear,Gateshead,NE11 9LS,Static Library,2016,,54.942003,-1.636992
Kirklees,Lepton Library,Highgate Lane ,Huddersfield,West Yorkshire,Kirklees,HD8 0HB,Static Library,2016,,53.633099,-1.710912
Kirklees,Thornhill Lees Library,Brewery Lane,Dewsbury,West Yorkshire,Kirklees, WF12 9DU,Static Library,2016,,53.672445,-1.636838
Lancashire,Briercliffe,Jubilee Street,Burnley    ,Lancashire ,Lancashire,BB10 2JD,Static Library,2016,,53.812563,-2.200616
Lancashire,Chatsworth,Chatsworth Avenue,Fleetwood,Lancashire ,Lancashire,FY7 8EG,Static Library,2016,,53.913763,-3.035432
Lancashire,Northfleet,Northfleet Avenue,Fleetwood,Lancashire ,Lancashire,FY7 7ND,Static Library,2016,2013,53.911429,-3.030914
Lancashire,Read,41 Whalley Road,Burnley,Lancashire ,Lancashire,BB12 7PB,Static Library,2016,,53.806286,-2.353421
Lancashire,Rosegrove,Lowerhouse Lane,Burnley,Lancashire ,Lancashire,BB12 6HU,Static Library,2016,,53.789589,-2.281378
